Date;SP500_LEVEL;SP500_NTM_EPS;SP500_DIV_YIELD;SPTSX_LEVEL;SPTSX_NTM_EPS;SPTSX_DIV_YIELD;MSCI_EAFE_LEVEL;MSCI_EAFE_NTM_EPS;MSCI_EAFE_DIV_YIELD;FTSE_TMX_UNIV_BOND_IDX_LEVEL;FTSE_TMX_CORP_BOND_IDX_LEVEL;CANADA_90D_RATE;CANADA_2Y_RATE;CANADA_10Y_RATE;CANADA_30Y_RATE;US_90D_RATE;US_2Y_RATE;US_10Y_RATE;US_30Y_RATE;GERMANY_90D_RATE;GERMANY_2Y_RATE;GERMANY_10Y_RATE;GERMANY_30Y_RATE;US_MANUFACTURING_PMI;EZ_MANUFACTURING_PMI;GLOBAL_MANUFACTURING_PMI;EMERGING_MANUFACTURING_PMI
2020-08-31;3500.31;130.64;1.67;16514.44;681.76;3.2;1909.99;89.32;2.77;1209.759;1371.988;0.147;0.275;0.622;1.164;0.0938;0.1309;0.7048;1.4747;-0.563;-0.652;-0.397;0.062;56;51.7;51.8;52.5
2020-07-31;3271.12;128.92;1.79;16169.21;658.41;3.27;1820.21;90.36;2.92;1223.592;1379.028;0.17;0.268;0.467;0.927;0.0837;0.1054;0.5282;1.1925;-0.559;-0.713;-0.524;-0.101;54.2;51.8;50.6;51.4
2020-06-30;3100.29;124.7;1.9;15515.22;629.57;3.42;1780.58;90.22;2.95;1208.266;1353.965;0.209;0.292;0.528;0.991;0.1293;0.1485;0.6561;1.4107;-0.544;-0.687;-0.454;0.005;52.6;47.4;47.9;49.6
2020-05-31;3044.31;125.22;1.94;15192.83;607.36;3.51;1725.09;93.79;3.09;1188.173;1319.989;0.192;0.29;0.534;1.118;0.1246;0.1603;0.6526;1.4064;-0.521;-0.659;-0.447;0.003;43.1;39.4;42.4;45.4
2020-04-30;2912.43;129.27;2.05;14780.74;748.02;3.67;1657.69;99.48;3.39;1184.466;1312.147;0.263;0.312;0.547;1.128;0.0788;0.1956;0.6393;1.2848;-0.568;-0.76;-0.586;-0.177;41.5;33.4;39.6;42.7
2020-03-31;2584.59;150.8;2.39;13378.75;877.2;4.1;1559.59;112.5;4;1141.262;1252.643;0.255;0.425;0.697;1.304;0.061;0.2455;0.6695;1.3214;-0.68;-0.689;-0.471;0.027;49.1;44.5;47.3;49.1
2020-02-29;2954.22;172.67;2.13;16263.05;1096.77;3.33;1809.71;130.67;3.69;1164.559;1324.355;1.486;1.155;1.132;1.324;1.267;0.913;1.1486;1.6752;-0.618;-0.769;-0.607;-0.15;50.1;49.2;47.1;44.6
2020-01-31;3225.52;174.8;1.92;17318.49;1117.09;3.15;1993.72;135;3.4;1156.355;1318.879;1.641;1.431;1.273;1.431;1.5382;1.3132;1.5068;1.9996;-0.536;-0.67;-0.434;0.07;50.9;47.9;50.3;51
2019-12-31;3230.78;163.81;1.83;17063.43;1061.51;3.09;2036.94;129.45;3.24;1123.682;1284.487;1.659;1.697;1.702;1.763;1.5436;1.5691;1.9175;2.3896;-0.7;-0.601;-0.185;0.349;47.8;46.3;50.1;51
2019-11-30;3140.98;164.05;1.88;17040.2;1079.66;3.08;1974.47;129.42;3.33;1137.221;1291.482;1.655;1.586;1.463;1.557;1.5672;1.6119;1.7758;2.2054;-0.627;-0.627;-0.36;0.148;48.1;46.9;50.3;51.1
